nome,telefone,site,endereco,avaliacoes,nota,categoria
SantaVet Centro de Especialidades Veterinárias,(47) 3288-2010,https://santavetclinica.com.br/,"SantaVet Centro de Especialidades Veterinárias - Rua Frei Estanislau Schaette, 870 - Água Verde, Blumenau - SC, 89037-002",333,4.700000,Animal hospital
Centro Clínico Veterinário SalvaVet 24h,(47) 99663-2210,https://www.instagram.com/salvavet24h/,"Centro Clínico Veterinário SalvaVet 24h - Rua Theodoro Holtrup, 774 - Vila Nova, Blumenau - SC, 89035-300 TELEFONE: 32852018, Blumenau - SC, 89035-300",696,4.900000,Animal hospital
Bio Bichos,(47) 3323-8158,https://www.instagram.com/bio.bichos/?igshid=YmM0MjE2YWMzOA%3D%3D,"Bio Bichos - R. São Paulo, 2253 - Itoupava Seca, Blumenau - SC, 89030-000",277,4.500000,Animal hospital
Vida Pet Clínica Veterinária,(47) 99651-2821,https://vidapetbnu.com.br/,"Vida Pet Clínica Veterinária - R. Guatemala, 135 - Ponta Aguda, Blumenau - SC, 89050-110",93,4.900000,Veterinarian
Animal Health Veterinary Clinic,(47) 99975-8515,,"Animal Health Veterinary Clinic - Vila Nova, Blumenau - SC, 89035-300",169,4.600000,Veterinarian
Clínica Veterinária Ecogarden,(47) 3041-9026,https://www.instagram.com/clinicavetecogarden/,"Clínica Veterinária Ecogarden - R. Gen. Osório, 3694 - Água Verde, Blumenau - SC, 89042-000",151,4.800000,Veterinarian
Clínica Veterinária Fortaleza Animal,(47) 3378-2624,http://www.facebook.com/animalfortaleza,"Clínica Veterinária Fortaleza Animal - R. Solingen, 355 - Itoupava Norte, Blumenau - SC, 89055-000",358,4.600000,Veterinarian
Clínica Veterinária Cia dos Bichos,(47) 99659-4466,https://sites.google.com/view/ciadosbichosblumenau,"Clínica Veterinária Cia dos Bichos - R. Érico Hoffmann, 119 - Garcia, Blumenau - SC, 89020-050",161,4.800000,Veterinarian
Clínica Veterinária Alemã,(47) 3340-2193,https://www.facebook.com/clinicavetalema/,"Clínica Veterinária Alemã - Av. Martin Luther, 390 - Centro, Blumenau - SC, 89012-010",83,4.900000,Veterinarian
Clínica Veterinária Satori Água Verde,(47) 3080-0820,http://satoricv.com.br/,"Clínica Veterinária Satori Água Verde - R. Johann Ohf, 362 - Água Verde, Blumenau - SC, 89042-300",403,4.700000,Animal hospital
Clínica Veterinária Piccollo´s,(47) 3234-4465,,"Clínica Veterinária Piccollo´s - R. Colombo, 68 - Velha, Blumenau - SC, 89036-340",89,4.900000,Veterinarian
Veterinary Clinic Mon Petit,(47) 3041-4009,https://instagram.com/vetmonpetit?igshid=MzRlODBiNWFlZA==,"Veterinary Clinic Mon Petit - R. Richard Holetz, 51 - Bom Retiro, Blumenau - SC, 89010-550",138,4.700000,Veterinarian
Centro Clínico Veterinário Alfredo Grahl,(47) 99914-5926,,"Centro Clínico Veterinário Alfredo Grahl - R. Heinrich Hosang, 95 - Victor Konder, Blumenau - SC, 89012-190",289,4.900000,Veterinarian
"Coninck BarberShop - Barbearia em Gaspar, tradição desde 1964 - barbearia Tidão",(47) 3397-0566,https://business.facebook.com/coninckbarbershop/,"Coninck BarberShop - Barbearia em Gaspar, tradição desde 1964 - barbearia Tidão - R. 7 de Setembro, 140 - sala 2 - Sete de Setembro, Gaspar - SC, 89114-840",79,4.900000,Barber shop
Bárbaro Barbearia,(47) 99996-0062,https://sites.google.com/view/barbaro-barbearia/barbaro-barbearia?authuser=4,"Bárbaro Barbearia - R. José Rafael Schmitt, 164 - SALA 04 - Santa Terezinha, Gaspar - SC, 89114-033",123,5.000000,Barber shop
Bronx BarberShop Gaspar,(47) 3018-2699,,"Bronx BarberShop Gaspar - R. São José, 212 - Centro, Gaspar - SC, 89110-010",114,4.900000,Barber shop
Brooklyn Barbearia Gaspar,(47) 99681-1600,,"Brooklyn Barbearia Gaspar - R. Doralício García - Centro, Gaspar - SC, 89110-013",8,5.000000,Barber shop
Barbearia O Paiol,(47) 99933-5843,,"Barbearia O Paiol - R. São José, 500 - Centro, Gaspar - SC, 89114-442",22,4.600000,Barber shop
Barbearia Cabra Macho-Gaspar,(47) 99118-4520,,"Barbearia Cabra Macho-Gaspar - R. Barão do Rio Branco, 600 - Sete de Setembro, Gaspar - SC, 89114-139",1,5.000000,Barber shop
Barbearia Invictus,(47) 99733-7170,,"Barbearia Invictus - R. Cel. Aristiliano Ramos - Centro, Gaspar - SC, 89110-067",19,5.000000,Barber shop
El Mustache Barbearia,(47) 99923-4183,,"El Mustache Barbearia - Av. Das Comunidades, 134 - Centro, Gaspar - SC, 89110-052",162,4.800000,Barber shop
Barbearia 4 de Agosto,(47) 99727-2192,https://barb.page.link/FsUUN,"Barbearia 4 de Agosto - R. Duque de Caxias, n° 10 - Sala 03 - Centro, Gaspar - SC, 89110-052",178,4.900000,Barber shop
Elite Barbershop,(47) 99287-8240,https://api.whatsapp.com/send?phone=5547992878240&text=Ol%C3%A1.%20Eu%20gostaria%20de%20agendar%20um%20hor%C3%A1rio!,"Elite Barbershop - R. Duque de Caxias, 133 - Centro, Gaspar - SC, 89110-052",28,4.800000,Barber shop
Barbearia Gaspar - Thur Barber StreetWear,(47) 99224-6589,https://deschamps.app.br/applink/thu,"Barbearia Gaspar - Thur Barber StreetWear - R. Euríco Fontes - Centro, Gaspar - SC, 89110-061",58,5.000000,Barber shop
GUILHERME BARBEARIA,,,"GUILHERME BARBEARIA - R. Barão do Rio Branco, 455 - Sete de Setembro, Gaspar - SC, 89114-730",1,5.000000,Barber shop
Barbearia Gaspar Street Barber Shop,(47) 98800-3770,https://www.instagram.com/streetgasparsc/,"Barbearia Gaspar Street Barber Shop - R. Itajaí, 91 - Sete de Setembro, Gaspar - SC, 89115-001",33,5.000000,Barber shop
Barbearia Du Sparta,(47) 99641-1437,,"Barbearia Du Sparta - R. Angelina Müller, 185 - Sete de Setembro, Gaspar - SC, 89114-874",52,4.900000,Barber shop
Murialan Barbershop,(47) 99745-8846,https://bit.ly/AgendamentoMurialanBarbershop,"Murialan Barbershop - Rod. Dep. Francisco Mastella - Sete de Setembro, Gaspar - SC, 89114-442",86,4.900000,Barber shop
Bravos Barbearia,(47) 99212-1542,https://www.instagram.com/bravosbarbeariagaspar/,"Rua Vereador - R. Augusto Beduschi, 127 - Centro, Gaspar - SC, 89110-070",20,4.800000,Barber shop
Clinica Veterinária Trinca Ferro,(47) 99662-1228,http://www.trincaferro.pet/,"Clinica Veterinária Trinca Ferro - Rua Arnoldo Schramm 2°, Andar, Sala 01 - Centro, Gaspar - SC, 89110-097",238,5.000000,Veterinarian
UniCão Pet Clínica Veterinária | Clínica veterinária em Gaspar | Emergência veterinária | ortopedia veterinária | Raio X |,(47) 99783-1815,https://www.instagram.com/unicaopet?igsh=MXR5OHl2dGR4dzg0dA==,"Agropecuária Cardeal - R. Barão do Rio Branco, 500 - fundos - Anexo a - Santa Terezinha, Gaspar - SC, 89114-030",113,4.700000,Veterinarian
Vet + Pet Clínica Veterinária,(47) 92001-2291,,"Em cima do supermercado top - R. Luiz Franzoi, 250 - 2 andar - sala 2 - Margem Esquerda, Gaspar - SC, 89116-652",86,4.900000,Veterinarian
Clinica Veterinaria Gaspar,(47) 3332-1258,http://www.instagram.com/clinicaveterinariagaspar,"Clinica Veterinaria Gaspar - R. Luiz Franzoi, 1000 - Margem Esquerda, Gaspar - SC, 89116-652",23,4.800000,Veterinarian
Oral Unic Implantes Gaspar,(47) 99204-0060,https://oralunicgaspar.com.br/,"Oral Unic Implantes Gaspar - R. Mario Vanzuita, 15 - Centro, Gaspar - SC, 89110-103",1607,4.900000,Dental clinic
Clínica JC - Jessica Crespi,(47) 99752-8977,https://www.jessicacrespi.com.br/,"Clínica JC - Jessica Crespi - R. Euríco Fontes, 60 - Centro, Gaspar - SC, 89110-061",77,4.900000,Dental clinic
Dental Clinic - Dr Gustavo Schmitt,(47) 98422-8608,,"Dental Clinic - Dr Gustavo Schmitt - R. Industrial José Beduschi, 200 - Centro, Gaspar - SC, 89110-001",18,4.800000,Dental clinic
OrthoDontic - Referência em Invisalign Gaspar,(47) 98467-5333,https://www.orthodonticbrasil.com.br/clinicas/gaspar-223/,"OrthoDontic - Referência em Invisalign Gaspar - R. São José, 307 - Centro, Gaspar - SC, 89110-010",115,4.800000,Dental clinic
Oral Sin Implantes Gaspar,(47) 3230-0348,https://lp.oralsingaspar.com.br/,"Oral Sin Implantes Gaspar - R. Itajaí, 304 - Sete de Setembro, Gaspar - SC, 89115-001",481,5.000000,Dental clinic
"Maximarques Odontologia - Implantes Dentários, Aparelhos Ortodônticos, Dentista em Gaspar",(47) 3018-1013,https://www.maximarques.com.br/,"Maximarques Odontologia - Implantes Dentários, Aparelhos Ortodônticos, Dentista em Gaspar - Av. Das Comunidades, 430 - Centro, Gaspar - SC, 89110-085",1593,5.000000,Dentist
OdontoCompany Gaspar,(47) 99124-4278,https://linktr.ee/odontocompany_gaspar,"OdontoCompany Gaspar - R. São José, 449 - Centro, Gaspar - SC, 89110-010",192,4.900000,Dental clinic
Constante Odontologia,(47) 99767-5775,https://instagram.com/constanteodontologia_?igshid=MXd0cGtzcjcydnpkOQ==&utm_source=qr,"Constante Odontologia - R. Industrial José Beduschi, 39 - Sala 04 - Centro, Gaspar - SC, 89110-001",78,5.000000,Dental clinic
Durante Odontologia Especializada,(47) 99292-1157,,"Durante Odontologia Especializada - R. Augusto Beduschi, 232 - terreo - Centro, Gaspar - SC, 89110-070",135,4.900000,Dental clinic
Corbari Centro de Odontologia Especializada | Dentista em Gaspar,(47) 98810-0928,https://corbariodontologia.com.br/,"Corbari Centro de Odontologia Especializada | Dentista em Gaspar - R. Doralício García, 163 - Centro, Gaspar - SC, 89110-013",440,5.000000,Dentist
Clinimais Clínica Odontológica,(47) 3332-3011,,"Clinimais Clínica Odontológica - R. Pref. Leopoldo Schramm, 85 - Coloninha, Gaspar - SC, 89114-442",172,4.900000,Dentist
Clínica Odontológica Fiori Odontologia,(47) 99613-7245,https://fioriodontologia.com.br/,"Clínica Odontológica Fiori Odontologia - R. Hercílio Fides Zimmermann, 15 - sala 202 - Margem Esquerda, Gaspar - SC, 89116-650",153,5.000000,Dental clinic
"Clínica Odontológica União - Implantes Dentários, Próteses Fixa, Aparelhos, Lentes e Dentistas em Gaspar",(47) 3332-6688,https://clinicauniaogaspar.com.br/,"Clínica Odontológica União - Implantes Dentários, Próteses Fixa, Aparelhos, Lentes e Dentistas em Gaspar - R. Cel. Aristiliano Ramos, 441 - Centro, Gaspar - SC, 89110-064",278,4.900000,Dental clinic
Odontoexcellence Gaspar,(47) 99711-9978,,"Odontoexcellence Gaspar - Rod. Dep. Francisco Mastella, 95 - Sete de Setembro, Gaspar - SC, 89110-000",107,4.900000,Dental clinic
Clínica Sorriso e Vida Gaspar,(47) 3332-4230,http://sorrisoevida.com.br/,"Clínica Sorriso e Vida Gaspar - R. São José, 253 - Sala 101 - Centro, Gaspar - SC, 89110-010",3,5.000000,Dental clinic
MCM Odontologia | Implantes dentários | Prótese protocolo | Dentista em Gaspar,(47) 3332-3330,,"MCM Odontologia | Implantes dentários | Prótese protocolo | Dentista em Gaspar - R. 7 de Setembro, 79 - Sete de Setembro, Gaspar - SC, 89114-840",33,5.000000,Dentist
Roman clínica,(47) 99276-8797,http://wa.me/5547992768797,"Roman clínica - R. São José, 253 - Sala 204 - Centro, Gaspar - SC, 89110-010",3,5.000000,Dental clinic
Dra. Carolina Heinig Odontologia | Implantes dentários e Lentes em Gaspar - SC,(47) 3397-0008,https://wa.me/5547991679344?text=Ol%C3%A1%2C%20vi%20voc%C3%AA%20no%20Google%20e%20quero%20saber%20mais%20sobre%20o%20tratamento.,"Dra. Carolina Heinig Odontologia | Implantes dentários e Lentes em Gaspar - SC - R. 7 de Setembro, 61 - Sete de Setembro, Gaspar - SC, 89114-442",22,4.700000,Dental clinic
Clínica Exclusiva Odontologia Gaspar,(47) 98422-1982,http://www.exclusivagaspar.com.br/,"Clínica Exclusiva Odontologia Gaspar - Rua Coronel Aristiliano Ramos, N’200 1• Andar, Gaspar - SC, 89110-067",192,4.900000,Dental clinic
You Sant Clinic,(47) 99201-0909,,"You Sant Clinic - R. Industrial José Beduschi, 107 - Centro, Gaspar - SC, 89110-001",15,5.000000,Dental clinic
Clínica Stetic Center,(47) 99674-8294,,"Clínica Stetic Center - R. São José, 253 - Sala 6A - Centro, Gaspar - SC, 89110-010",10,5.000000,Laser hair removal service
Dra. Vanessa Kleis,(47) 99145-2125,http://dravanessakleis.com.br/,"Clínica Cimbe - R. 7 de Setembro, 777 - 5 andar - Sala 508 - Centro, Blumenau - SC, 89010-201",34,5.000000,Health and beauty shop
Estética Edileusa Gomes,(47) 99993-6645,,"Estética Edileusa Gomes - Edf Macuco. Centro, R. Euríco Fontes, 30 - 1o andar/ sala 01 - Centro, Gaspar - SC, 89110-061",15,5.000000,Beauty salon
Beleza Essencial Clínica de Estética,(47) 99210-3521,,"Beleza Essencial Clínica de Estética - R. São José, 253 - Centro, Gaspar - SC, 89110-010",6,5.000000,Plastic surgery clinic
Beauty Flow Estética & Nails,(47) 99119-5942,,"Beauty Flow Estética & Nails - R. 7 de Setembro, 287 - Sete de Setembro, Gaspar - SC, 89114-840",4,5.000000,Nail salon
Day Regina Clínica Estética,(47) 99737-4559,,"Day Regina Clínica Estética - Rod. Dep. Francisco Mastella, 95 - Sete de Setembro, Gaspar - SC, 89114-732",2,5.000000,Health and beauty shop
Clínica de Estética Virtuosa,(47) 99957-9423,,"Clínica de Estética Virtuosa - Av. Das Comunidades, 133 - Centro, Gaspar - SC, 89110-085",31,4.600000,Health and beauty shop
Espaço Day | Estética e Beleza | Cabeleireira Manicure Pedicure Salão de Beleza,(47) 99700-2577,https://www.instagram.com/espacodayesteticaebeleza/,"Espaço Day | Estética e Beleza | Cabeleireira Manicure Pedicure Salão de Beleza - R. 7 de Setembro, 187 - Sete de Setembro, Gaspar - SC, 89114-840",3,5.000000,Beauty salon
CAROL SAZIKI BEAUTY E ESTÉTICA,(47) 99601-9707,https://www.instagram.com/carolsaziki_beauty,"CAROL SAZIKI BEAUTY E ESTÉTICA - R. Isidoro Correa, 86 - Sala 2 - Centro, Gaspar - SC, 89110-055",3,5.000000,Beautician
Estética Carla Assunção,(47) 99188-6713,,"Estética Carla Assunção - R. Manoel Bitencourt, 401 - Sete de Setembro, Gaspar - SC, 89114-758",20,5.000000,Beautician
Estética das Unhas - Samantha Locatelli,(47) 99252-9790,,"Estética das Unhas - Samantha Locatelli - R. Euríco Fontes, 89 - Centro, Gaspar - SC, 89110-120",5,5.000000,Nail salon
Luisa Licht Estética Avançada,(55) 99735-3934,,"Luisa Licht Estética Avançada - R. São José, 253 - Centro, Gaspar - SC, 89110-010",3,5.000000,Health and beauty shop
Centro de Beleza Jú,(47) 3332-1318,,"Centro de Beleza Jú - R. Doralício García, n° 232 - Centro, Gaspar - SC, 89110-013",5,4.800000,Beauty salon
Lisô Laser - Gaspar / SC,(47) 98493-2995,http://www.lisolasergaspar.com.br/,"Lisô Laser - Gaspar / SC - R. Industrial José Beduschi, 28 - Centro, Gaspar - SC, 89110-001",423,4.900000,Laser hair removal service
Clínica Estética - Nati Krieger Estética,(47) 99683-0694,https://www.instagram.com/natikriegerestetica/,"Clínica Estética - Nati Krieger Estética - R. Euríco Fontes, 89 - sala 07 - Sete de Setembro, Gaspar - SC, 89110-061",5,5.000000,Beauty salon
Estética Duda Barbieri,(47) 99772-7122,,"Estética Duda Barbieri - R. 7 de Setembro, 78 - Sete de Setembro, Gaspar - SC, 89114-860",1,5.000000,Beauty salon
Primax Imóveis,(47) 3355-5005,http://www.primaximoveis.com.br/,"Primax Imóveis - R. Rodrigues Alves, 279 - Centro 1, Brusque - SC, 88350-160",192,4.400000,Real estate agency
J Peixer Property,(47) 98420-2000,http://www.jpeixer.com.br/,"J Peixer Property - R. dos Caçadores, 2766 - Velha, Blumenau - SC, 89040-002",153,4.200000,Real estate agency
Tomio Imovéis,(47) 3332-2686,https://tomioimoveis.com.br/,"Tomio Imovéis - R. Cel. Aristiliano Ramos, 390 - 2º andar - Centro, Gaspar - SC, 89110-067",593,4.700000,Real estate agency
Portal Imóveis - Agência Gaspar,(47) 2204-1555,https://imoveisportal.com/gaspar,"Portal Imóveis - Agência Gaspar - R. Isidoro Correa, 113 - sala 02 - Centro, Gaspar - SC, 89110-055",28,4.900000,Real estate agency
APG Imóveis,(47) 3332-2554,http://www.apegeimoveis.com.br/,"APG Imóveis - R. São José, 196 - Centro, Gaspar - SC, 89110-010",122,4.300000,Real estate agency
Leandro Souza Imóveis,(47) 99740-2480,https://leandrosouzaimoveis.com.br/,"Leandro Souza Imóveis - R. 7 de Setembro, 41 - Sala 02 - Sete de Setembro, Gaspar - SC, 89114-880",7,5.000000,Real estate agency
Imobiliária Gasparense,(47) 3332-1919,http://www.imobiliariagasparense.com.br/,"Imobiliária Gasparense - R. Barão do Rio Branco, 555 - Sala 02 - Sete de Setembro, Gaspar - SC, 89114-730",3,3.700000,Real estate agency
For Life Imobiliária,(47) 99954-6837,http://www.forlifeimb.com.br/,"For Life Imobiliária - R. São José, 253 - sala A01 - Centro, Gaspar - SC, 89110-010",37,4.800000,Real estate agency
Ivan Soares Corretor de Imóveis Gaspar,(47) 3332-1818,https://ivansoares.com/,"Ivan Soares Corretor de Imóveis Gaspar - R. Cel. Aristiliano Ramos, 211 - Centro, Gaspar - SC, 89110-000",17,4.700000,Real estate agent
Jack & Carlos Imóveis - Creci 2963,(47) 3318-0002,http://www.jackimoveis.com/,"Jack & Carlos Imóveis - Creci 2963 - Av. Das Comunidades, 930 - Sala 106 - Centro, Gaspar - SC, 89110-085",8,4.300000,Real estate agency
Sonhar Imóveis,(47) 99966-0500,http://www.sonharimoveisgaspar.com.br/,"Sonhar Imóveis - R. Augusto Beduschi, 69 - Centro, Gaspar - SC, 89110-070",9,5.000000,Real estate agency
Spengler Imóveis,(47) 98804-0503,http://www.spenglerimoveis.com.br/,"Spengler Imóveis - R. Itajaí, 330 - sala 01 - Sete de Setembro, Gaspar - SC, 89115-001",103,4.600000,Real estate agent
Fischer Imóveis,(47) 99935-7711,http://imoveisfischer.com/,"Fischer Imóveis - Av. Frei Godofredo, 45 - Sala 03 - Santa Terezinha, Gaspar - SC, 89114-130",15,5.000000,Real estate agency
ZUZA imóveis,(47) 3332-0681,http://www.zuzaimoveis.com/,"ZUZA imóveis - R. Augusto Beduschi, 76 - Centro, Gaspar - SC, 89110-079",18,3.700000,Real estate agency
Paulo Gestão Imobiliária,(47) 98833-2968,,"Paulo Gestão Imobiliária - R. Monte Castelo, 33 - Sete de Setembro, Gaspar - SC, 89114-824",0,0.000000,Real estate agency
Liber Imóveis,(47) 93385-9255,https://www.liberimoveis.com.br/,"Edifício Atitude - R. São José, 253 - sala 308 - Centro, Gaspar - SC, 89110-010",32,5.000000,Real estate agency
Privativa Imóveis,(47) 3332-8379,http://www.privativaimoveis.com.br/,"Privativa Imóveis - R. Augusto Beduschi, 87 - 2 - Centro, Gaspar - SC, 89110-070",6,4.200000,Real estate agency
Farmasso Imobiliária e Incorporadora,(47) 3332-1313,,"Farmasso Imobiliária e Incorporadora - R. Barão do Rio Branco - Centro, Gaspar - SC, 89114-442",6,3.700000,Real estate agency
Rafael Cassio Imobiliária Gaspar,(47) 99108-5682,https://imoveisemgaspar.com.br/,"Rafael Cassio Imobiliária Gaspar - R. Cel. Aristiliano Ramos, 460 - Sala 02 - Centro, Gaspar - SC, 89110-000",4,5.000000,Real estate agency
Julia Sabel Corretora de Imóveis,(47) 99250-7242,https://juliasabelcorretora.com.br/,"Julia Sabel Corretora de Imóveis - R. São Pedro, 55 - Sala 02 - Centro, Gaspar - SC, 89110-082",28,5.000000,Real estate agency
RCS Investimentos Imobiliários,(47) 99927-9129,https://www.rafaelcoutinhosantos.com.br/,"RCS Investimentos Imobiliários - R. 7 de Setembro, 466 - Sala 02 - Sete de Setembro, Gaspar - SC, 89114-840",1,5.000000,Real estate agency
Santos Corretora de Imóveis,(47) 99666-4466,,"próximo da prefeitura. Atrás do coreto - R. Cel. Aristiliano Ramos, 381 - Centro, Gaspar - SC, 89110-064",8,5.000000,Real estate agency
Gaspar Auto Center,(47) 3332-0606,,"Gaspar Auto Center - R. Duque de Caxias, 203 - Centro, Gaspar - SC, 89114-442",44,4.700000,Mechanic
Kabrauto Work Center,(47) 3322-4455,https://kabrauto.com.br/,"Kabrauto Work Center - R. 7 de Setembro, 1900 - Centro, Blumenau - SC, 89010-200",1492,4.900000,Tire shop
Oficina Mecânica das Nações,(47) 3397-1464,,"Oficina Mecânica das Nações - R. Arnoldo Schramm, 33 - Sala 2 - Centro, Gaspar - SC, 89110-097",60,4.600000,Auto repair shop
Oficina Mecânica Hot Car,(47) 3332-9402,https://www.facebook.com/Hotcaroficina,"Oficina Mecânica Hot Car - R. Itajaí, 397 - Sete de Setembro, Gaspar - SC, 89115-001",39,4.500000,Auto repair shop
RACYNTEC OFICINA MECÂNICA,,,"RACYNTEC OFICINA MECÂNICA - R. 1º de Maio, 155 - Sete de Setembro, Gaspar - SC, 89114-818",0,0.000000,Auto repair shop
auto mecanica klock,(47) 3332-1302,,"auto mecanica klock - R. Barão do Rio Branco, 746 - Santa Terezinha, Gaspar - SC, 89110-000",6,3.300000,Auto repair shop
Bosch Car Service - Ricson Mecânica Automotiva,(47) 99934-0119,https://www.oficinaboschservice.com.br/ricsonmecanicaautomotiva,"Bosch Car Service - Ricson Mecânica Automotiva - Rua Itajai, 7 de setembro, 949, Gaspar - SC, 89115-001",66,4.800000,Auto repair shop
